epoc_time,date_time,distance,velocity
1456267923140,2016-02-23T22:52:03.140Z,5.32547574483,0.24
1456267923475,2016-02-23T22:52:03.475Z,2.19513296682,0.23
1456267923928,2016-02-23T22:52:03.928Z,1.89185214637,0
1456267924129,2016-02-23T22:52:04.129Z,4.84473400782,0.24
1456267924461,2016-02-23T22:52:04.461Z,2.19513296682,0.23
1456267924941,2016-02-23T22:52:04.941Z,1.89185214637,0
1456267925146,2016-02-23T22:52:05.146Z,5.52004961992,0.24
1456267925445,2016-02-23T22:52:05.445Z,2.19513296682,0
1456267925932,2016-02-23T22:52:05.932Z,2.10934976781,0.24
1456267926139,2016-02-23T22:52:06.139Z,5.0308460939,0.24
1456267926459,2016-02-23T22:52:06.459Z,2.19513296682,0
1456267926906,2016-02-23T22:52:06.906Z,2.10934976781,0.25
1456267927144,2016-02-23T22:52:07.144Z,5.11851116272,0.24
1456267927439,2016-02-23T22:52:07.439Z,2.19513296682,0
1456267927905,2016-02-23T22:52:07.905Z,2.10934976781,0.23
1456267928119,2016-02-23T22:52:08.119Z,5.11851116272,0.25
1456267928465,2016-02-23T22:52:08.465Z,2.6848375825,0.23
1456267928933,2016-02-23T22:52:08.933Z,2.0148479696,0.23
1456267929160,2016-02-23T22:52:09.160Z,5.11851116272,0.23
1456267929446,2016-02-23T22:52:09.446Z,2.19513296682,0.24
1456267929904,2016-02-23T22:52:09.904Z,2.10934976781,0.25
1456267930147,2016-02-23T22:52:10.147Z,4.6324024571,0.24
1456267930463,2016-02-23T22:52:10.463Z,2.19513296682,0
1456267930951,2016-02-23T22:52:10.951Z,2.10934976781,0
1456267931126,2016-02-23T22:52:11.126Z,4.6324024571,0.25
1456267931438,2016-02-23T22:52:11.438Z,3.93291864217,0.25
1456267931925,2016-02-23T22:52:11.925Z,2.10934976781,0
1456267932162,2016-02-23T22:52:12.162Z,4.6324024571,0.23
1456267932474,2016-02-23T22:52:12.474Z,3.93291864217,0.23
1456267932915,2016-02-23T22:52:12.915Z,2.0148479696,0.24
1456267933137,2016-02-23T22:52:13.137Z,5.11851116272,0.25
1456267933420,2016-02-23T22:52:13.420Z,3.93291864217,0.25
1456267933921,2016-02-23T22:52:13.921Z,2.59024177338,0.24
1456267934127,2016-02-23T22:52:14.127Z,5.11851116272,0.24
1456267934462,2016-02-23T22:52:14.462Z,3.77198158101,0.23
1456267934933,2016-02-23T22:52:14.933Z,2.59024177338,0.24
1456267935154,2016-02-23T22:52:15.154Z,5.11851116272,0.23
1456267935454,2016-02-23T22:52:15.454Z,3.93291864217,0.24
1456267935940,2016-02-23T22:52:15.940Z,2.31064937741,0.24
1456267936130,2016-02-23T22:52:16.130Z,4.99196036825,0.24
1456267936463,2016-02-23T22:52:16.463Z,3.93291864217,0.24
